date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:44:51	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202024%2003:44:48%20GMT	https://vitabridge.co.za/robots.txt		(from )
04:44:52	222201/222201	U-----	200	untouched ('OK')	text/html	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/index.html	(from )
04:45:10	11892/11892	U--MCZ	200	updated ('OK')	text/javascript	date:Tue,%2023%20Jan%202024%2003:45:06%20GMT	https://kit.fontawesome.com/78d167673c.js	C:/My%20Web%20Sites/damilare%20btc/kit.fontawesome.com/78d167673c.js	(from https://vitabridge.co.za/)
04:45:39	163897/163897	U-----	200	untouched ('OK')	text/css	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/cdn.jsdelivr.net/npm/bootstrap%405.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://vitabridge.co.za/)
04:45:39	25427/25427	U-----	200	untouched ('OK')	text/css	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/style/animation/2.6%20animate.css.css	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/style/animation/2.6%20animate.css.css	(from https://vitabridge.co.za/)
04:45:39	8542/8542	U-----	200	untouched ('OK')	text/css	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/style/index.css	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/style/index.css	(from https://vitabridge.co.za/)
04:45:40	227172/227172	U-----	200	untouched ('OK')	text/html	date:Sun,%2021%20Jan%202024%2006:02:08%20GMT	https://vitabridge.co.za/walletpage.html	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/walletpage.html	(from https://vitabridge.co.za/)
04:45:40	58991/58991	U-----	200	untouched ('')	application/javascript	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/files.coinmarketcap.com/static/widget/coinMarquee.js	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/files.coinmarketcap.com/static/widget/coinMarquee.js	(from https://vitabridge.co.za/)
04:45:40	1807/1807	U-----	200	untouched ('')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/pumpeth.com/wp-content/uploads/2018/06/secure.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/pumpeth.com/wp-content/uploads/2018/06/secure.png	(from https://vitabridge.co.za/)
04:45:58	1249/1249	U-----	200	untouched ('')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/pumpeth.com/wp-content/uploads/2018/06/case.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/pumpeth.com/wp-content/uploads/2018/06/case.png	(from https://vitabridge.co.za/)
04:46:02	78129/78129	U--M-Z	200	updated ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/damilare%20btc/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://vitabridge.co.za/)
04:46:06	9038/9038	U-----	200	untouched ('')	application/javascript	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/script/waypoints/jquery.waypoints.min.js	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/script/waypoints/jquery.waypoints.min.js	(from https://vitabridge.co.za/)
04:46:06	2183/2183	U-----	200	untouched ('')	application/javascript	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/script/counter/jquery.counterup.min.js	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/script/counter/jquery.counterup.min.js	(from https://vitabridge.co.za/)
04:46:06	8418/8418	U-----	200	untouched ('')	application/javascript	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/script/wow/wow.min.js	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/script/wow/wow.min.js	(from https://vitabridge.co.za/)
04:46:17	260/260	U-----	200	untouched ('')	application/javascript	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/script/script.js	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/script/script.js	(from https://vitabridge.co.za/)
04:46:18	11025/11025	U-----	200	untouched ('')	application/javascript	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/kit.fontawesome.com/78d167673c.js	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/kit.fontawesome.com/78d167673c.js	(from https://vitabridge.co.za/walletpage.html)
