date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:44	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jan%202024%2021:22:40%20GMT	https://vitabridge.co.za/robots.txt		(from )
22:22:55	222201/222201	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/index.html	(from )
22:23:02	11892/11892	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2022%20Jan%202024%2021:22:57%20GMT	https://kit.fontawesome.com/78d167673c.js	C:/My%20Web%20Sites/damilare%20btc/kit.fontawesome.com/78d167673c.js	(from https://vitabridge.co.za/)
22:23:10	163897/163897	---M--	200	added ('OK')	text/css	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/cdn.jsdelivr.net/npm/bootstrap%405.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://vitabridge.co.za/)
22:23:12	25427/25427	---M--	200	added ('OK')	text/css	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/style/animation/2.6%20animate.css.css	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/style/animation/2.6%20animate.css.css	(from https://vitabridge.co.za/)
22:23:12	8542/8542	---M--	200	added ('OK')	text/css	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/style/index.css	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/style/index.css	(from https://vitabridge.co.za/)
22:23:17	58991/58991	---M--	200	added ('OK')	application/javascript	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/files.coinmarketcap.com/static/widget/coinMarquee.js	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/files.coinmarketcap.com/static/widget/coinMarquee.js	(from https://vitabridge.co.za/)
22:23:20	227172/227172	---M--	200	added ('OK')	text/html	date:Sun,%2021%20Jan%202024%2006:02:08%20GMT	https://vitabridge.co.za/walletpage.html	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/walletpage.html	(from https://vitabridge.co.za/)
22:23:44	1807/1807	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/pumpeth.com/wp-content/uploads/2018/06/secure.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/pumpeth.com/wp-content/uploads/2018/06/secure.png	(from https://vitabridge.co.za/)
22:23:50	1249/1249	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Jun%202023%2004:17:36%20GMT	https://vitabridge.co.za/pumpeth.com/wp-content/uploads/2018/06/case.png	C:/My%20Web%20Sites/damilare%20btc/vitabridge.co.za/pumpeth.com/wp-content/uploads/2018/06/case.png	(from https://vitabridge.co.za/)
